SBS1	SBS2	SBS5	SBS8	SBS9	SBS13	SBS18	SBS-MM1	mutations
MMRC006BBM	0.0200143067809758	0.308365534411754	0.339728195732575	0.167813176186848	0	0.164078786887846	0	0	15782
MMRC00GABM	0.0482027746341176	0.0776513751893923	0.483485224031227	0.147417617589889	0.243243008555374	0	0	0	4901
MMRC00GIBM	0.0402578532800015	0.0275712654534409	0.45481972647404	0.297770773139075	0.179580381653443	0	0	0	5522
MMRC01LGBM	0.0458841153038999	0	0.492170177434542	0.187697546927445	0.274248160334114	0	0	0	6413
MMRC01Q1BM	0.0387290710596508	0.036154773368467	0.437949016768897	0.176960596515226	0.310206542287759	0	0	0	5218
MMRC01YHBM	0.0869465932092852	0.0333527079143461	0.522640276979596	0	0.244099158383935	0	0.112961263512838	0	3125
MMRC023ZBM	0.0296120893188033	0.0460155655605971	0.324963761706422	0.145001096541327	0.208085961621002	0	0	0.246321525251848	9793
MMRC0244BM	0.0532181398202573	0	0.474340945470493	0	0.472440914709249	0	0	0	5612
MMRC02G7BM	0.0192898639350588	0.128082097299834	0.449241646726847	0.23181298070941	0.171573411328851	0	0	0	7970
MMRC02GIBM	0.0416561485101389	0.045219622837281	0.430523291666548	0.114940937860835	0.367659999125198	0	0	0	4639
PD26400a	0.038080609902699	0.0439529482541632	0.391442302522111	0.188375094729905	0.338149044591121	0	0	0	6726
PD26400c	0.0376165857751496	0.0527122591091179	0.41296733234512	0.198000530707018	0.298703292063594	0	0	0	7645
PD26401a	0.0914980221360607	0.0382937385100995	0.396134895212321	0.161344757253818	0.312728586887701	0	0	0	6125
PD26401c	0.0899199830588925	0.0411064444483406	0.405707657291561	0.173113612128881	0.290152303072325	0	0	0	6439
PD26402a	0.0424136357052512	0.0464607702507571	0.397254422743533	0.221723585765894	0.292147585534565	0	0	0	5253
PD26402c	0.0412410538975034	0.0525841550645623	0.413423052429231	0.223432375985405	0.269319362623299	0	0	0	5950
PD26403a	0.0663608913546162	0	0.46281401445684	0.155298814996942	0.315526279191601	0	0	0	6588
PD26403c	0.0582418741158327	0	0.514065893766185	0.152484440805889	0.275207791312094	0	0	0	7450
PD26403d	0.0449478969901154	0	0.426770521198563	0.148061341134865	0.272067687181843	0	0	0.108152553494614	9612
PD26404a	0.0815276415481309	0.0318574970716745	0.421907380765867	0.11445654824185	0.350250932372478	0	0	0	4236
PD26404c	0.0800043935411229	0.0317240385745792	0.419670551339283	0.11502627298286	0.353574743562155	0	0	0	4222
PD26405a	0.0408783055059873	0.0363022825196838	0.442109852400886	0.222836806406675	0.257872753166768	0	0	0	5308
PD26405c	0.0404302911795482	0.0368434666751918	0.442055464066261	0.226426543958406	0.254244234120593	0	0	0	5364
PD26406a	0.0282161685777214	0.0577617183234595	0.434831646058384	0.159313965740051	0.319876501300384	0	0	0	3951
PD26406c	0.0263101352485662	0.0707123128400493	0.460251271388002	0.13120293950721	0.311523341016173	0	0	0	4474
PD26407a	0.0607932999248557	0	0.430301831358353	0.119717274008724	0.389187594708068	0	0	0	2389
PD26407c	0.0628487357870908	0	0.442202960322432	0.122739126304663	0.372209177585814	0	0	0	2554
PD26408a	0.0930136511556399	0.0399052265250279	0.395956332568967	0.184020086349744	0.28710470340062	0	0	0	5707
PD26408c	0.0953141746302146	0.042081423262816	0.372531724546112	0.176934327266781	0.313138350294076	0	0	0	5222
PD26409a	0.0535549038776612	0.0268263370506429	0.460641583162311	0.145941433576302	0.313035742333083	0	0	0	4156
PD26409c	0.0528377096391452	0.0303138015883428	0.490498957374342	0.142163584543517	0.284185946854652	0	0	0	4590
PD26410d	0.063798771109888	0.0777308889589754	0.467234391078129	0	0.284662347075118	0	0.10657360177789	0	5852
PD26411a	0.0528290628848028	0.0450646827069314	0.295317472565352	0.17163799392832	0.251336959422838	0	0	0.183813828491755	8215
PD26411c	0.0500067486672625	0.0427959116419066	0.284673682933735	0.162964441725737	0.273687149519722	0	0	0.185872065511637	6834
PD26411d	0.0538334206417257	0.0420538457287067	0.241255360607724	0.172329508492131	0.311654517718077	0	0	0.178873346811636	3588
PD26412a	0.049177449296284	0.0615359195503849	0.315100212149708	0.22381650825236	0.215397776429056	0	0	0.134972134322207	8496
PD26412c	0.0667328035508708	0.0629280017576323	0.431408101376887	0.1780922901229	0.260838803191709	0	0	0	5650
PD26412d	0.0787905161757091	0.0655213487950865	0.394126805357605	0.196024896966887	0.198895968491277	0	0	0.0666404642134357	985
PD26414a	0.0391606042244281	0.10261399627443	0.530556400670622	0.128036565687834	0.199632433142686	0	0	0	1797
PD26414b	0.0242325693183186	0.137831731057812	0.273659690889857	0.149598513949008	0.139680645636587	0	0	0.274996849148418	8218
PD26414e	0.0336772149422006	0.110616986419606	0.541539656732721	0.129798388101365	0.184367753804108	0	0	0	2552
PD26414f	0.0248364315071025	0.138160538606892	0.318058337539434	0.153615644701886	0.165305433817061	0	0	0.200023613827625	5017
PD26414g	0.0232563327016001	0.137879837694088	0.285032999908427	0.14843159737052	0.141020089708201	0	0	0.264379142617164	7713
PD26415c	0.0355049894249331	0	0.315718040057606	0	0.491647650088181	0	0.15712932042928	0	2540
PD26415g	0.04248496149406	0	0.301926144800926	0	0.503415012234431	0	0.152173881470583	0	3172
PD26416d	0.0652325434676563	0.0333428277917213	0.531837843212157	0.143689992557144	0.136044812523994	0	0.0898519804473269	0	4038
PD26416e	0.0642817413147891	0.0378461642140187	0.574856729835164	0.123693443678204	0.12537575549978	0	0.0739461654580443	0	4222
PD26418a	0.0265411246549691	0.021959988082255	0.501600703007207	0.24077742366091	0.209120760594659	0	0	0	6820
PD26418c	0.0267569810279656	0.0217333547587405	0.502299947200221	0.236829615339138	0.212380101673935	0	0	0	6802
PD26418d	0.0254246452319173	0.0245602822132968	0.515626508516665	0.232513865986911	0.201874698051211	0	0	0	7231
PD26418e	0.0241685248452098	0.0224230077739737	0.502290357530493	0.240922076487447	0.210196033362876	0	0	0	7386
PD26419a	0.0398987661930627	0.157965714000776	0.43717446088673	0.256045048140457	0	0.108916010778974	0	0	5755
PD26419c	0.0473191997005063	0.0920791521424851	0.436896522678597	0.313258313355935	0	0.110446812122477	0	0	2552
PD26419d	0.0393905203637991	0.148304307824488	0.464748955393699	0.253183298840339	0	0.0943729175776759	0	0	10010
PD26420a	0.0521568390769404	0.0450547826090841	0.479725235886393	0.227825929999946	0.195237212427637	0	0	0	3289
PD26420c	0.0504034801001391	0.0472839195042611	0.471779497960478	0.226922488585164	0.203610613849958	0	0	0	3251
PD26422d	0.0456943816304492	0.0493435221314434	0.430374726665093	0.180960227511714	0.129923624248202	0	0	0.163703517813098	4338
PD26422e	0.047463060641342	0.0489136652413765	0.432369382272887	0.180295554968529	0.129909697493638	0	0	0.161048639382228	4373
PD26422f	0.0442049008218679	0.0485356706786499	0.4310739557275	0.179216237946611	0.128230850662258	0	0	0.168738384163113	4364
PD26423e	0.0448798554841192	0.0429355413585903	0.288096344961681	0.160645061728784	0.178304733871529	0	0	0.285138462595297	7509
PD26423g	0.0645086672345848	0.0443528349010519	0.503477913331032	0	0.151480793726122	0	0.147469879877763	0.0887099109294468	4186
PD26423h	0.053002288305376	0.0444890869204026	0.326846898707011	0.178160556348794	0.184447415004742	0	0	0.213053754713674	6200
PD26424a	0.0314996944945728	0.0590336322549331	0.3189277134421	0.122751412200884	0.46778754760751	0	0	0	7297
PD26424c	0.0299214136580823	0.0604039519681782	0.295112222667592	0.13312306266742	0.481439349038727	0	0	0	6950
PD26425e	0.0439664247774206	0.0312439284655966	0.425341722025464	0.177017590170031	0.322430334561488	0	0	0	5207
PD26425f	0.0444126339525488	0.0354125940835446	0.391924984237833	0.178560608016733	0.314175806473802	0.0355133732355392	0	0	5442
PD26426e	0.0541185059546189	0	0.470116603958465	0.181915141400046	0.147295278571524	0	0.146554470115346	0	8991
PD26427a	0.0418878033426746	0.0357961596286493	0.395539279737934	0.205030045453558	0.321746711837184	0	0	0	4811
PD26427c	0.0496505403138115	0.0266647606700899	0.359353075125852	0.177698132782332	0.386633491107914	0	0	0	3538
PD26428a	0.0576874754981157	0.0260341233522711	0.150434012072243	0.20176248856085	0.564081900516519	0	0	0	1872
PD26428c	0.0582566637708194	0.0370001110094281	0.317663768328759	0.197484430715291	0.389595026175703	0	0	0	3749
PD26429a	0.0774643976814076	0.0501941410874938	0.539798300657047	0	0.332543160574052	0	0	0	4596
PD26432c	0.0751744403384348	0.0246692565585801	0.211884758052226	0.0900586973782141	0.598212847672545	0	0	0	7138
PD26432e	0.0704444361775391	0	0.207222963583407	0.085510036001692	0.636822564237362	0	0	0	5933
PD26434c	0.0611096335301228	0	0.367441963789294	0	0.571448402680583	0	0	0	1511
PD26435c	0.0204358610426403	0.0216491554225527	0.523167475191383	0.312163109352287	0.122584398991137	0	0	0	5318
PD26435e	0.020043553575378	0.02298091920368	0.510264805515896	0.3102516691563	0.11130821433437	0.0251508382143761	0	0	6981
V0D56U	0.0237284134393455	0.0745248691546718	0.527743631545066	0.146987662747419	0.227015423113498	0	0	0	4910
V0D56W	0.0282175277117285	0.104936021533928	0.41884627411495	0.178222959556332	0.227117137303151	0.0426600797799114	0	0	5395
V0D56Z	0.0744443186131549	0.0366042475527933	0.360587807279765	0.141860532297082	0.386503094257205	0	0	0	4713
V0D577	0.0298146318169914	0.0579107448752825	0.448938180143962	0.208979515215647	0.205331355243098	0.0490255727050183	0	0	5395
V0D57C	0.0251293924707844	0.0260486798766598	0.337189592905568	0.259499970014639	0.174453495466797	0	0	0.177678869265552	5528
V0D57H	0.0206409239988132	0.0622404669530551	0.373644415995295	0.42863188426251	0.114842308790327	0	0	0	11133
V0D57M	0.0556247553584129	0.0686353245626782	0.488821925831263	0.136071542813398	0.250846451434248	0	0	0	6740
V0D583	0.0310194032152217	0.0293141684675307	0.499606071198093	0.226063473395632	0.213996883723523	0	0	0	4532
V0D58G	0.0347406192066435	0.0886474963442979	0.434142810233621	0.24950324623924	0.192965827976198	0	0	0	5832
V0D58I	0.0286577897171701	0	0.412998802859401	0.284529880308025	0.273813527115403	0	0	0	6302
V0D58T	0.0439853423051497	0.0738908774308049	0.321826291476227	0	0.264788059307929	0	0.171955934309781	0.123553495170108	6600
V0D92Z	0.0420469621845197	0	0.452123824033817	0.1995494142813	0.306279799500363	0	0	0	9107
